id,cycle,s1,s2,label1
1,1,1,1,0
1,2,1,1,0
1,3,1,1,0
1,4,1,1,0
1,5,1,1,0
1,6,1,1,0
1,7,1,1,0
1,8,1,1,0
1,9,25,1,0
1,10,1,1,0
1,11,25,1,0
1,12,1,1,0
1,13,2,1,0
1,14,3,1,0
1,15,25,1,0
1,16,5,1,1
1,17,6,1,1
1,18,7,1,1
1,19,8,1,1
2,1,1,1,0
2,2,1,1,0
2,3,1,1,0
2,4,1,1,0
2,5,1,1,0
2,6,1,1,0
2,7,1,1,0
2,8,1,1,0
2,9,1,1,0
2,10,1,1,0
2,11,25,1,0
2,12,1,1,0
2,13,1,1,0
2,14,1,1,0
2,15,1,1,0
2,16,25,1,0
2,17,1,1,0
2,18,1,1,0
2,19,1,1,0
2,20,25,2,0
2,21,1,3,1
2,22,1,4,1
2,23,1,5,1
2,24,1,6,1
